usage_id,subscription_id,customer_id,month,devices_connected,data_transfer_gb,active_users,connection_hours,created_at
usage_dc8941c9,sub_8a394840,cust_ec60abff,2024-09-01,639,249175.23,414,298990.1,2024-09-06
usage_2bea1888,sub_8a394840,cust_ec60abff,2024-10-01,1246,222581.19,414,590982.77,2024-10-04
usage_830cb262,sub_8a394840,cust_ec60abff,2024-11-01,819,156392.71,414,349192.17,2024-11-05
usage_bc07ed66,sub_8a394840,cust_ec60abff,2024-12-01,567,194461.57,414,182115.19,2024-12-03
usage_d58ac104,sub_7a37918c,cust_6f248c53,2024-08-01,30,7229.3,25,12205.3,2024-08-05
usage_d37b075a,sub_7a37918c,cust_6f248c53,2024-09-01,41,12657.54,25,5907.27,2024-09-04
usage_791b2052,sub_7a37918c,cust_6f248c53,2024-10-01,33,4942.29,25,6715.64,2024-10-02
usage_a4d82302,sub_7a37918c,cust_6f248c53,2024-11-01,67,21907.62,25,13366.01,2024-11-06
usage_567bb054,sub_7a37918c,cust_6f248c53,2024-12-01,64,3291.69,25,7376.25,2024-12-03
usage_7d00bf96,sub_44150d67,cust_2d96b248,2024-07-01,5007,1236657.01,1746,1859006.31,2024-07-02
usage_7f1a132d,sub_44150d67,cust_2d96b248,2024-08-01,3196,1102066.36,1746,466222.63,2024-08-05
usage_b7c2a49b,sub_44150d67,cust_2d96b248,2024-09-01,4225,1661722.24,1746,996647.13,2024-09-02
usage_c29abfe0,sub_44150d67,cust_2d96b248,2024-10-01,4760,424804.36,1746,688377.33,2024-10-05
usage_4fc7670b,sub_44150d67,cust_2d96b248,2024-11-01,2845,1065120.32,1746,1116553.56,2024-11-05
usage_b7946956,sub_44150d67,cust_2d96b248,2024-12-01,3227,280097.6,1746,1089053.04,2024-12-03
usage_d4503271,sub_bee25379,cust_f36c9bd0,2024-04-01,2,791.11,1,554.12,2024-04-05
usage_3668150b,sub_bee25379,cust_f36c9bd0,2024-05-01,2,777.42,1,487.19,2024-05-06
usage_0c3cb611,sub_bee25379,cust_f36c9bd0,2024-06-01,2,20.96,1,714.78,2024-06-04
usage_55692b10,sub_bee25379,cust_f36c9bd0,2024-07-01,3,1265.52,1,397.17,2024-07-03
usage_296039b8,sub_bee25379,cust_f36c9bd0,2024-08-01,1,35.05,1,423.55,2024-08-03
usage_1203378e,sub_bee25379,cust_f36c9bd0,2024-09-01,1,194.87,1,422.77,2024-09-03
usage_3e952c22,sub_bee25379,cust_f36c9bd0,2024-10-01,2,53.53,1,370.44,2024-10-04
usage_1f9579e0,sub_bee25379,cust_f36c9bd0,2024-11-01,3,280.05,1,679.45,2024-11-05
usage_51da0614,sub_bee25379,cust_f36c9bd0,2024-12-01,2,252.98,1,823.29,2024-12-04
usage_01e641b4,sub_245c7699,cust_7480121e,2024-05-01,548,217256.1,385,114672.84,2024-05-05
usage_4320d804,sub_245c7699,cust_7480121e,2024-06-01,934,40830.4,385,359023.39,2024-06-03
usage_86bc1bad,sub_245c7699,cust_7480121e,2024-07-01,643,165536.76,385,75784.88,2024-07-03
usage_ba0bd2f0,sub_245c7699,cust_7480121e,2024-08-01,1315,300792.49,385,169198.92,2024-08-04
usage_c4939911,sub_245c7699,cust_7480121e,2024-09-01,466,90355.31,385,65342.53,2024-09-04
usage_9ed4eb33,sub_245c7699,cust_7480121e,2024-10-01,423,52942.89,385,153554.74,2024-10-03
usage_a7b15ad0,sub_245c7699,cust_7480121e,2024-11-01,658,16744.7,385,210605.6,2024-11-03
usage_77a0d26f,sub_245c7699,cust_7480121e,2024-12-01,797,301750.45,385,202991.3,2024-12-02
usage_89d0fc04,sub_48652d22,cust_acd87ed1,2024-09-01,12,1426.91,4,5237.26,2024-09-03
usage_efca0cf4,sub_48652d22,cust_acd87ed1,2024-10-01,10,3433.08,4,3594.05,2024-10-05
usage_bf1b29b0,sub_48652d22,cust_acd87ed1,2024-11-01,15,4561.71,4,4295.14,2024-11-06
usage_868cd826,sub_48652d22,cust_acd87ed1,2024-12-01,9,2233.67,4,2635.71,2024-12-02
usage_478d2860,sub_20beb791,cust_272c2751,2024-11-01,1905,94465.76,1609,722947.02,2024-11-02
usage_c9cbcd8f,sub_20beb791,cust_272c2751,2024-12-01,6168,2822039.62,1609,1743698.56,2024-12-05
usage_81190aa0,sub_51fefaee,cust_43801b16,2024-06-01,611,266986.93,336,67841.66,2024-06-06
usage_8bfd9669,sub_51fefaee,cust_43801b16,2024-07-01,937,92152.68,336,265649.92,2024-07-06
usage_536eb987,sub_51fefaee,cust_43801b16,2024-08-01,799,353361.51,336,266591.41,2024-08-02
usage_f6bee700,sub_51fefaee,cust_43801b16,2024-09-01,1042,165601.7,336,212376.99,2024-09-04
usage_3fca7ea3,sub_51fefaee,cust_43801b16,2024-10-01,716,223570.49,336,170155.15,2024-10-05
usage_e063bafc,sub_51fefaee,cust_43801b16,2024-11-01,1101,255679.25,336,329646.58,2024-11-03
usage_cf0b04e9,sub_51fefaee,cust_43801b16,2024-12-01,847,345009.98,336,317827.8,2024-12-06
usage_16ca3c50,sub_ee7b81ad,cust_f50a6b99,2024-07-01,2,849.53,1,392.41,2024-07-04
usage_3a2e1501,sub_ee7b81ad,cust_f50a6b99,2024-08-01,1,206.85,1,431.67,2024-08-05
usage_b8ebdc78,sub_ee7b81ad,cust_f50a6b99,2024-09-01,3,577.22,1,893.3,2024-09-05
usage_8a4ad4fb,sub_ee7b81ad,cust_f50a6b99,2024-10-01,1,427.52,1,291.13,2024-10-04
usage_c72b8624,sub_ee7b81ad,cust_f50a6b99,2024-11-01,2,734.85,1,373.93,2024-11-04
usage_b6c8dff6,sub_ee7b81ad,cust_f50a6b99,2024-12-01,3,473.83,1,1244.95,2024-12-05
usage_d6442477,sub_b50f8ba6,cust_e34a20f8,2024-01-01,32,11727.53,21,3210.86,2024-01-02
usage_3dc7b873,sub_b50f8ba6,cust_e34a20f8,2024-02-01,27,10577.96,21,10089.34,2024-02-03
usage_be4fa0b6,sub_b50f8ba6,cust_e34a20f8,2024-03-01,42,4239.01,21,12790.83,2024-03-02
usage_f4a5172e,sub_b50f8ba6,cust_e34a20f8,2024-04-01,70,25983.28,21,12801.85,2024-04-05
usage_b6f355f5,sub_b50f8ba6,cust_e34a20f8,2024-05-01,27,3580.83,21,6082.49,2024-05-06
usage_e788a6ab,sub_b50f8ba6,cust_e34a20f8,2024-06-01,67,17430.17,21,19645.37,2024-06-02
usage_0097d64a,sub_b50f8ba6,cust_e34a20f8,2024-07-01,36,14108.79,21,6931.1,2024-07-02
usage_3fb39007,sub_b50f8ba6,cust_e34a20f8,2024-08-01,32,11028.05,21,14982.84,2024-08-03
usage_b9cf7dd0,sub_b50f8ba6,cust_e34a20f8,2024-09-01,37,15652.49,21,15029.52,2024-09-06
usage_cd3ebcac,sub_b50f8ba6,cust_e34a20f8,2024-10-01,83,6725.8,21,40004.23,2024-10-06
usage_67d3cceb,sub_b50f8ba6,cust_e34a20f8,2024-11-01,33,8132.9,21,4060.99,2024-11-04
usage_82e27b8f,sub_b50f8ba6,cust_e34a20f8,2024-12-01,46,1444.57,21,9461.69,2024-12-05
usage_0b61dcd9,sub_32e1c88d,cust_9ed24e0e,2024-11-01,992,291364.9,307,131720.15,2024-11-05
usage_c67d1246,sub_32e1c88d,cust_9ed24e0e,2024-12-01,492,72607.02,307,73618.39,2024-12-03
usage_457be1fa,sub_46643c65,cust_8ea4faec,2024-04-01,107,24472.13,84,35669.05,2024-04-05
usage_9fffb9fb,sub_46643c65,cust_8ea4faec,2024-05-01,274,67246.35,84,101615.11,2024-05-06
usage_64b845b0,sub_46643c65,cust_8ea4faec,2024-06-01,257,94143.64,84,93154.16,2024-06-06
usage_889dbec3,sub_46643c65,cust_8ea4faec,2024-07-01,168,52249.21,84,58751.76,2024-07-02
usage_2b281bfa,sub_46643c65,cust_8ea4faec,2024-08-01,203,15440.73,84,60115.0,2024-08-02
usage_d8a6e196,sub_46643c65,cust_8ea4faec,2024-09-01,187,74306.03,84,92590.79,2024-09-04
usage_4ac778a2,sub_46643c65,cust_8ea4faec,2024-10-01,151,47369.82,84,55139.74,2024-10-02
usage_a0dfa0fb,sub_46643c65,cust_8ea4faec,2024-11-01,183,58487.32,84,68420.87,2024-11-04
usage_7b9c0d13,sub_46643c65,cust_8ea4faec,2024-12-01,151,74993.42,84,27187.02,2024-12-02
usage_9f1a1e2b,sub_99170940,cust_57dd4ce6,2024-02-01,2558,1222701.46,1651,1107924.07,2024-02-05
usage_ec3a8abe,sub_99170940,cust_57dd4ce6,2024-03-01,5834,2211752.77,1651,824590.97,2024-03-06
usage_003d704e,sub_99170940,cust_57dd4ce6,2024-04-01,2971,740140.7,1651,963262.03,2024-04-02
usage_c874aa9c,sub_99170940,cust_57dd4ce6,2024-05-01,2789,316598.87,1651,1230446.11,2024-05-06
usage_8d794f99,sub_99170940,cust_57dd4ce6,2024-06-01,5474,198380.3,1651,1708766.63,2024-06-03
usage_3412a37a,sub_99170940,cust_57dd4ce6,2024-07-01,3557,396672.83,1651,1527088.66,2024-07-05
usage_fb5dcaff,sub_99170940,cust_57dd4ce6,2024-08-01,2942,531174.91,1651,1230161.54,2024-08-03
usage_316b50a0,sub_99170940,cust_57dd4ce6,2024-09-01,2014,990884.22,1651,358065.0,2024-09-02
usage_782d1e93,sub_99170940,cust_57dd4ce6,2024-10-01,4249,1021464.52,1651,1888226.42,2024-10-04
usage_84cf26ea,sub_99170940,cust_57dd4ce6,2024-11-01,2164,920703.04,1651,485144.82,2024-11-06
usage_86f82cfa,sub_99170940,cust_57dd4ce6,2024-12-01,4355,1478749.55,1651,1483098.03,2024-12-04
usage_5b73de13,sub_c795b76e,cust_eee9f32f,2024-09-01,2603,668257.39,1087,616126.32,2024-09-05
usage_ebdb3448,sub_c795b76e,cust_eee9f32f,2024-10-01,4248,530429.95,1087,1440415.16,2024-10-06
usage_cadcb73f,sub_c795b76e,cust_eee9f32f,2024-11-01,3205,272562.21,1087,1410983.81,2024-11-03
usage_b7e65719,sub_c795b76e,cust_eee9f32f,2024-12-01,2229,1017048.71,1087,915847.7,2024-12-04
usage_b43bd85f,sub_6eeaa021,cust_b2751f47,2024-01-01,130,5742.43,76,44210.34,2024-01-03
usage_edebaf46,sub_6eeaa021,cust_b2751f47,2024-02-01,181,7731.73,76,71607.51,2024-02-04
usage_88005692,sub_6eeaa021,cust_b2751f47,2024-03-01,288,129610.04,76,133010.34,2024-03-02
usage_f9dfc9e8,sub_6eeaa021,cust_b2751f47,2024-04-01,303,107949.06,76,79484.91,2024-04-02
usage_8378ff88,sub_6eeaa021,cust_b2751f47,2024-05-01,115,14294.82,76,39018.77,2024-05-04
usage_6890afa1,sub_6eeaa021,cust_b2751f47,2024-06-01,162,59037.77,76,52154.85,2024-06-04
usage_49538b41,sub_6eeaa021,cust_b2751f47,2024-07-01,117,13646.62,76,14167.36,2024-07-03
usage_447e8bd1,sub_6eeaa021,cust_b2751f47,2024-08-01,107,25727.48,76,27817.55,2024-08-04
usage_7dff9443,sub_6eeaa021,cust_b2751f47,2024-09-01,243,79898.39,76,65964.68,2024-09-04
usage_1cd9bd8f,sub_6eeaa021,cust_b2751f47,2024-10-01,181,49558.86,76,27918.26,2024-10-04
usage_891311d2,sub_6eeaa021,cust_b2751f47,2024-11-01,180,88700.95,76,62012.08,2024-11-03
usage_8bf251dd,sub_6eeaa021,cust_b2751f47,2024-12-01,208,66906.33,76,95017.34,2024-12-04
usage_34b37e3c,sub_2da321a9,cust_b021cd2e,2024-03-01,68,3777.02,22,17692.51,2024-03-02
usage_5dc7146c,sub_2da321a9,cust_b021cd2e,2024-04-01,24,11564.78,22,6916.5,2024-04-05
usage_63a7f2f0,sub_2da321a9,cust_b021cd2e,2024-05-01,48,3680.73,22,13993.38,2024-05-03
usage_4533ff20,sub_2da321a9,cust_b021cd2e,2024-06-01,79,28132.7,22,13596.21,2024-06-03
usage_2ee78267,sub_2da321a9,cust_b021cd2e,2024-07-01,64,23688.82,22,30594.47,2024-07-02
usage_67b599a3,sub_2da321a9,cust_b021cd2e,2024-08-01,62,24678.31,22,24101.73,2024-08-02
usage_790f6aa0,sub_2da321a9,cust_b021cd2e,2024-09-01,58,5832.8,22,11244.77,2024-09-04
usage_05506d0f,sub_2da321a9,cust_b021cd2e,2024-10-01,29,12959.07,22,4058.59,2024-10-04
usage_584abb98,sub_2da321a9,cust_b021cd2e,2024-11-01,32,12249.02,22,10275.16,2024-11-04
usage_2d2b3fe6,sub_2da321a9,cust_b021cd2e,2024-12-01,44,1104.42,22,16599.04,2024-12-03
usage_4fbaf8fd,sub_dc5ba4a7,cust_14834ed5,2024-05-01,5757,78227.3,1633,1959505.43,2024-05-05
usage_ac8d849c,sub_dc5ba4a7,cust_14834ed5,2024-06-01,3928,1844628.69,1633,578225.69,2024-06-06
usage_9281185a,sub_dc5ba4a7,cust_14834ed5,2024-07-01,2630,459771.04,1633,1304157.45,2024-07-02
usage_9decd80a,sub_dc5ba4a7,cust_14834ed5,2024-08-01,4454,269442.84,1633,1327279.16,2024-08-03
usage_bd4aee80,sub_dc5ba4a7,cust_14834ed5,2024-09-01,4601,192447.31,1633,814414.55,2024-09-02
usage_79691394,sub_dc5ba4a7,cust_14834ed5,2024-10-01,3788,287036.51,1633,1649705.37,2024-10-02
usage_9e831b6e,sub_dc5ba4a7,cust_14834ed5,2024-11-01,4865,1261006.67,1633,2091272.52,2024-11-05
usage_b8cdb945,sub_dc5ba4a7,cust_14834ed5,2024-12-01,5711,2356852.46,1633,732376.64,2024-12-03
usage_806a5c25,sub_86e433f8,cust_c32f811b,2024-03-01,361,50869.31,210,144305.99,2024-03-06
usage_c2e33c05,sub_86e433f8,cust_c32f811b,2024-04-01,526,251868.27,210,103487.75,2024-04-05
usage_3a4d0669,sub_86e433f8,cust_c32f811b,2024-05-01,571,191480.79,210,285266.56,2024-05-06
usage_e04d707f,sub_86e433f8,cust_c32f811b,2024-06-01,268,48244.64,210,51639.61,2024-06-05
usage_da8eebd6,sub_86e433f8,cust_c32f811b,2024-07-01,252,105596.7,210,88211.34,2024-07-06
usage_8fa8bf8b,sub_86e433f8,cust_c32f811b,2024-08-01,513,175259.05,210,222800.96,2024-08-03
usage_3f260931,sub_86e433f8,cust_c32f811b,2024-09-01,556,81963.81,210,195917.96,2024-09-03
usage_95c0a3e4,sub_86e433f8,cust_c32f811b,2024-10-01,365,124078.21,210,111308.55,2024-10-03
usage_c6342b88,sub_86e433f8,cust_c32f811b,2024-11-01,311,125929.24,210,115013.5,2024-11-06
usage_a8620c1d,sub_86e433f8,cust_c32f811b,2024-12-01,691,94047.58,210,199737.65,2024-12-02
usage_a24be610,sub_68a995c1,cust_b0adf157,2024-03-01,261,51367.93,68,120324.12,2024-03-04
usage_32b95eb6,sub_68a995c1,cust_b0adf157,2024-04-01,196,76491.47,68,47978.55,2024-04-04
usage_3878ce5b,sub_68a995c1,cust_b0adf157,2024-05-01,92,26255.86,68,23320.86,2024-05-06
usage_4c091ccf,sub_68a995c1,cust_b0adf157,2024-06-01,236,42085.28,68,66057.99,2024-06-03
usage_0c562d7e,sub_68a995c1,cust_b0adf157,2024-07-01,161,47178.26,68,38472.31,2024-07-06
usage_78951bb7,sub_68a995c1,cust_b0adf157,2024-08-01,227,92028.23,68,112473.61,2024-08-06
usage_a26c3deb,sub_68a995c1,cust_b0adf157,2024-09-01,160,39200.97,68,56419.54,2024-09-02
usage_2d5104d4,sub_68a995c1,cust_b0adf157,2024-10-01,115,52107.71,68,51686.73,2024-10-05
usage_beb1852f,sub_68a995c1,cust_b0adf157,2024-11-01,103,31359.43,68,44887.68,2024-11-05
usage_4862a76a,sub_68a995c1,cust_b0adf157,2024-12-01,105,24609.31,68,44207.85,2024-12-06
usage_5064db98,sub_46488207,cust_d2e02d1f,2024-09-01,13,3900.52,11,4361.26,2024-09-04
usage_24397714,sub_46488207,cust_d2e02d1f,2024-10-01,16,3729.78,11,7581.19,2024-10-04
usage_d3b6a066,sub_46488207,cust_d2e02d1f,2024-11-01,34,7036.74,11,8531.16,2024-11-05
usage_4b3a0219,sub_46488207,cust_d2e02d1f,2024-12-01,25,7738.31,11,5082.14,2024-12-02
usage_99431195,sub_c27a6f4f,cust_e23de2a1,2024-07-01,732,258496.46,448,323584.05,2024-07-02
usage_f8642a9a,sub_c27a6f4f,cust_e23de2a1,2024-08-01,1752,389439.52,448,211284.37,2024-08-04
usage_0dc7b119,sub_c27a6f4f,cust_e23de2a1,2024-09-01,1466,72697.26,448,711522.49,2024-09-03
usage_c21b9ebd,sub_c27a6f4f,cust_e23de2a1,2024-10-01,1164,554279.25,448,449687.77,2024-10-05
usage_7feb7867,sub_c27a6f4f,cust_e23de2a1,2024-11-01,601,250221.51,448,160787.05,2024-11-04
usage_6d3a5ff5,sub_c27a6f4f,cust_e23de2a1,2024-12-01,485,133851.06,448,146505.54,2024-12-02
usage_b29192a2,sub_8e353f5c,cust_d50dd54e,2024-03-01,3508,1173325.4,1357,716697.66,2024-03-03
usage_f9c84929,sub_8e353f5c,cust_d50dd54e,2024-04-01,2530,1227383.45,1357,625352.62,2024-04-05
usage_7cdbf353,sub_8e353f5c,cust_d50dd54e,2024-05-01,3070,1358911.78,1357,1525413.33,2024-05-04
usage_fc9f3233,sub_8e353f5c,cust_d50dd54e,2024-06-01,3288,1073201.15,1357,1356681.2,2024-06-05
usage_e8eed7b6,sub_8e353f5c,cust_d50dd54e,2024-07-01,4500,2136203.65,1357,1322050.6,2024-07-04
usage_52d81a5d,sub_8e353f5c,cust_d50dd54e,2024-08-01,2115,797780.28,1357,435092.31,2024-08-03
usage_4a46bd64,sub_8e353f5c,cust_d50dd54e,2024-09-01,3949,952096.57,1357,1505371.3,2024-09-06
usage_78f3f3ac,sub_8e353f5c,cust_d50dd54e,2024-10-01,1934,441714.53,1357,425992.68,2024-10-02
usage_415bd682,sub_8e353f5c,cust_d50dd54e,2024-11-01,3830,1878099.65,1357,1428572.98,2024-11-03
usage_3ba51007,sub_8e353f5c,cust_d50dd54e,2024-12-01,4047,2021501.02,1357,1097275.37,2024-12-03
usage_36ba1ebc,sub_0a747e69,cust_8ba70002,2024-10-01,53,8343.19,15,26345.59,2024-10-02
usage_75d37795,sub_0a747e69,cust_8ba70002,2024-11-01,45,5948.57,15,16142.85,2024-11-06
usage_b61c67fd,sub_0a747e69,cust_8ba70002,2024-12-01,30,12933.94,15,13418.07,2024-12-05
usage_f1885e43,sub_23f1888a,cust_bd64e7a6,2024-04-01,249,29421.84,150,96621.01,2024-04-02
usage_868cdc70,sub_23f1888a,cust_bd64e7a6,2024-05-01,140,53819.13,140,38599.4,2024-05-06
usage_51927035,sub_23f1888a,cust_bd64e7a6,2024-06-01,279,134966.43,150,96019.51,2024-06-03
usage_5b01d898,sub_23f1888a,cust_bd64e7a6,2024-07-01,158,72857.55,150,70130.16,2024-07-03
usage_fc0a64b9,sub_23f1888a,cust_bd64e7a6,2024-08-01,612,152978.9,150,146948.09,2024-08-05
usage_6203b634,sub_23f1888a,cust_bd64e7a6,2024-09-01,322,37337.54,150,74388.17,2024-09-03
usage_f178c244,sub_23f1888a,cust_bd64e7a6,2024-10-01,161,34938.03,150,32440.18,2024-10-04
usage_42eaca76,sub_23f1888a,cust_bd64e7a6,2024-11-01,267,55390.09,150,110098.31,2024-11-05
usage_5a4de11c,sub_23f1888a,cust_bd64e7a6,2024-12-01,495,61374.2,150,155868.96,2024-12-03
usage_52f6e4f6,sub_40b83f28,cust_2f3bb466,2024-03-01,31,10633.54,21,4200.84,2024-03-02
usage_a0c8dec5,sub_40b83f28,cust_2f3bb466,2024-04-01,38,2689.47,21,10586.81,2024-04-04
usage_4ffa4c0b,sub_40b83f28,cust_2f3bb466,2024-05-01,65,28873.62,21,10999.54,2024-05-05
usage_515b7a78,sub_40b83f28,cust_2f3bb466,2024-06-01,63,29746.61,21,17501.3,2024-06-04
usage_b6dc47b5,sub_40b83f28,cust_2f3bb466,2024-07-01,59,26658.98,21,18980.72,2024-07-06
usage_df745202,sub_3179c7be,cust_19f35441,2024-11-01,250,98485.69,108,121618.85,2024-11-04
usage_8fc9f676,sub_3179c7be,cust_19f35441,2024-12-01,313,102830.2,108,149106.82,2024-12-06
usage_c04e0d34,sub_fc250757,cust_5b52c7a0,2024-03-01,633,116174.1,285,111473.38,2024-03-05
usage_0e0de400,sub_fc250757,cust_5b52c7a0,2024-04-01,1052,458581.87,285,510137.13,2024-04-03
usage_0e03b276,sub_fc250757,cust_5b52c7a0,2024-05-01,640,181254.78,285,136036.49,2024-05-04
usage_e4b08f5f,sub_fc250757,cust_5b52c7a0,2024-06-01,651,282939.2,285,174793.61,2024-06-04
usage_a5bfeee0,sub_fc250757,cust_5b52c7a0,2024-07-01,417,75835.12,285,91414.34,2024-07-02
usage_ec47451c,sub_fc250757,cust_5b52c7a0,2024-08-01,540,60356.67,285,221822.44,2024-08-02
usage_0d4b05cc,sub_fc250757,cust_5b52c7a0,2024-09-01,550,14209.76,285,212877.98,2024-09-06
usage_cc479799,sub_fc250757,cust_5b52c7a0,2024-10-01,1028,411396.64,285,256013.39,2024-10-04
usage_a401fc1a,sub_fc250757,cust_5b52c7a0,2024-11-01,646,242239.63,285,251255.62,2024-11-04
usage_40ae2f85,sub_fc250757,cust_5b52c7a0,2024-12-01,647,260249.41,285,234134.84,2024-12-05
usage_7d0339c5,sub_b69cf9c1,cust_551e0c54,2024-02-01,565,55564.22,306,101764.37,2024-02-03
usage_784c867f,sub_b69cf9c1,cust_551e0c54,2024-03-01,986,25268.14,306,368187.51,2024-03-02
usage_1fd112b3,sub_b69cf9c1,cust_551e0c54,2024-04-01,703,167695.99,306,310857.38,2024-04-06
usage_29f7d589,sub_b69cf9c1,cust_551e0c54,2024-05-01,657,243385.66,306,279864.33,2024-05-06
usage_c066a6d1,sub_b69cf9c1,cust_551e0c54,2024-06-01,1169,483955.71,306,153277.7,2024-06-06
usage_7309b885,sub_b69cf9c1,cust_551e0c54,2024-07-01,902,259930.56,306,355603.86,2024-07-04
usage_24a1db87,sub_b69cf9c1,cust_551e0c54,2024-08-01,802,48026.27,306,364663.45,2024-08-06
usage_f8eff1b7,sub_b69cf9c1,cust_551e0c54,2024-09-01,662,262087.23,306,139465.35,2024-09-05
usage_ec0c781d,sub_b69cf9c1,cust_551e0c54,2024-10-01,479,115193.79,306,129339.62,2024-10-02
usage_945d12b9,sub_b69cf9c1,cust_551e0c54,2024-11-01,841,176692.17,306,247879.97,2024-11-02
usage_847053e7,sub_b69cf9c1,cust_551e0c54,2024-12-01,551,163062.77,306,143236.92,2024-12-05
usage_2eeda101,sub_f5169bb1,cust_8e0604f2,2024-01-01,362,112550.85,187,143406.17,2024-01-03
usage_aa314020,sub_f5169bb1,cust_8e0604f2,2024-02-01,346,105251.63,187,86489.93,2024-02-06
usage_4f53bdb7,sub_f5169bb1,cust_8e0604f2,2024-03-01,370,133933.06,187,140804.78,2024-03-03
usage_0557fde6,sub_f5169bb1,cust_8e0604f2,2024-04-01,182,64635.87,182,54336.43,2024-04-04
usage_98c949f6,sub_f5169bb1,cust_8e0604f2,2024-05-01,526,221291.46,187,195758.08,2024-05-06
usage_392541f0,sub_f5169bb1,cust_8e0604f2,2024-06-01,365,31472.99,187,73493.02,2024-06-04
usage_9167a4f1,sub_f5169bb1,cust_8e0604f2,2024-07-01,310,83900.79,187,77635.96,2024-07-04
usage_db5ddf0c,sub_f5169bb1,cust_8e0604f2,2024-08-01,420,54340.29,187,134696.23,2024-08-02
usage_14a90220,sub_f5169bb1,cust_8e0604f2,2024-09-01,380,96963.81,187,63484.26,2024-09-05
