subscription_id,customer_id,plan_id,billing_cycle,user_count,start_date,end_date,status,created_at,updated_at
sub_40b83f28,cust_2f3bb466,business,monthly,21,2024-03-30,2024-07-16,churned,2024-03-30,2024-07-04
sub_3179c7be,cust_19f35441,enterprise,annual,108,2024-11-20,2024-12-27,churned,2024-11-20,2024-12-07
sub_fc250757,cust_5b52c7a0,enterprise,annual,285,2024-03-01,,active,2024-03-01,2024-12-28
sub_b69cf9c1,cust_551e0c54,enterprise,monthly,306,2024-02-11,,active,2024-02-11,2024-03-28
sub_f5169bb1,cust_8e0604f2,team,annual,187,2024-01-31,,active,2024-01-31,2024-10-19
sub_ade204e7,cust_b120c8f4,business,annual,157,2024-09-14,,active,2024-09-14,2024-12-18
sub_bf7c34a9,cust_44cddc06,business,annual,10,2024-08-26,,active,2024-08-26,2024-08-27
sub_8b1c70ce,cust_96e30e13,business,monthly,30,2024-10-23,,active,2024-10-23,2024-12-14
sub_10719e82,cust_b258bf7d,enterprise,annual,459,2024-01-17,2024-08-21,churned,2024-01-17,2024-06-09
sub_410918a7,cust_e2f7c32e,business,annual,20,2024-08-29,2024-10-28,churned,2024-08-29,2024-12-02
sub_d21305c5,cust_25b36647,enterprise,annual,1251,2024-08-11,,active,2024-08-11,2024-10-03
sub_171dfad3,cust_b5d59990,personal,monthly,1,2024-07-09,,active,2024-07-09,2024-08-13
sub_41e3d332,cust_fe4aa29c,business,annual,135,2024-10-23,,active,2024-10-23,2024-12-11
sub_dec10b3c,cust_41155e6c,business,annual,1758,2024-04-18,,active,2024-04-18,2024-09-19
sub_17d511e0,cust_5a875668,premium,monthly,1,2024-03-27,,active,2024-03-27,2024-11-05
sub_82540388,cust_724a7dc0,business,monthly,64,2024-02-19,,active,2024-02-19,2024-03-11
sub_0ed875e3,cust_1ae5d4a9,personal,annual,1,2024-07-23,,active,2024-07-23,2024-12-25
sub_2362c151,cust_78741497,personal,monthly,1,2024-06-13,,active,2024-06-13,2024-12-15
sub_7565db59,cust_1d4b2869,business,monthly,265,2024-07-29,,active,2024-07-29,2024-08-04
sub_d4902ebe,cust_1d4b2869,enterprise,annual,132,2024-07-14,2024-10-19,churned,2024-07-14,2024-09-28
sub_904dc140,cust_00319f44,business,annual,647,2024-11-30,,active,2024-11-30,2024-12-08
sub_121f85e3,cust_45acd302,business,annual,35,2024-06-26,,active,2024-06-26,2024-07-19
sub_619f2bc0,cust_00747296,business,annual,147,2024-09-28,2024-12-17,churned,2024-09-28,2024-11-11
sub_3f9e2286,cust_d49ffa3c,business,annual,2,2024-05-02,,active,2024-05-02,2024-05-05
sub_20a80402,cust_0a7ec617,personal,annual,1,2024-01-05,2024-10-22,churned,2024-01-05,2024-03-26
sub_2a14bf80,cust_0529d3fd,premium,monthly,1,2024-05-27,,active,2024-05-27,2024-07-05
sub_31eda82d,cust_755e0cc6,team,monthly,385,2024-05-06,2024-10-23,churned,2024-05-06,2024-12-29
sub_a4e10df1,cust_4a07bbf5,premium,annual,1,2024-11-30,,active,2024-11-30,2024-12-12
sub_835a344a,cust_cb8e09ec,premium,monthly,1,2024-03-13,2024-11-11,churned,2024-03-13,2024-06-23
sub_55317b73,cust_660d6670,enterprise,annual,1883,2024-04-02,,active,2024-04-02,2024-07-15
sub_cd5eac4c,cust_16efeecd,team,annual,1204,2024-07-02,,active,2024-07-02,2024-10-29
sub_d937881a,cust_e234a756,business,annual,1255,2024-05-13,,active,2024-05-13,2024-10-02
sub_5bd4e586,cust_6ff7c7e1,enterprise,annual,565,2024-03-12,,active,2024-03-12,2024-09-21
sub_b53a19f8,cust_0f7e9b83,team,annual,59,2024-06-13,,active,2024-06-13,2024-09-02
sub_6d45ef9d,cust_d12b34f3,business,monthly,379,2024-06-11,,active,2024-06-11,2024-11-02
sub_80211091,cust_4fcbc7e2,business,annual,1107,2024-05-21,,active,2024-05-21,2024-10-23
sub_dd0b5448,cust_ad96e655,personal,annual,1,2024-04-18,,active,2024-04-18,2024-10-10
sub_e79c3784,cust_3b344ae5,business,monthly,68,2024-03-10,,active,2024-03-10,2024-10-17
sub_2f7687a3,cust_4d3bd766,team,annual,28,2024-02-20,2024-10-30,churned,2024-02-20,2024-11-12
sub_3dc70084,cust_4d063e72,team,annual,81,2024-03-29,2024-06-05,churned,2024-03-29,2024-07-11
sub_790bf219,cust_acc045e5,premium,annual,1,2024-11-08,,active,2024-11-08,2024-11-30
sub_ac8b688b,cust_26423df9,team,annual,119,2024-08-03,2024-11-24,churned,2024-08-03,2024-10-15
sub_8ab47db7,cust_5d2223cf,business,annual,145,2024-03-17,,active,2024-03-17,2024-05-12
sub_0bfa8998,cust_0ed77fff,team,monthly,61,2024-11-06,,active,2024-11-06,2024-11-20
sub_9ac7e605,cust_fda37853,team,annual,22,2024-07-02,,active,2024-07-02,2024-12-05
sub_af2b694d,cust_50339ab2,personal,monthly,1,2024-01-04,,active,2024-01-04,2024-03-12
sub_161bda18,cust_2a8fc904,enterprise,annual,1720,2024-06-12,,active,2024-06-12,2024-12-23
sub_ed6feec3,cust_3ab17ccd,team,monthly,2,2024-02-22,,active,2024-02-22,2024-10-23
sub_22d4f568,cust_a27db5e6,business,monthly,1934,2024-07-19,2024-11-29,churned,2024-07-19,2024-12-05
sub_5378001b,cust_70d58585,enterprise,annual,1673,2024-05-02,2024-12-06,churned,2024-05-02,2024-08-26
sub_659a4511,cust_8a914a28,business,annual,28,2024-04-07,,active,2024-04-07,2024-11-11
sub_3fe4212a,cust_87e92ed4,team,annual,7,2024-11-29,2024-12-30,churned,2024-11-29,2024-12-01
sub_31d17f9f,cust_35d86521,enterprise,annual,215,2024-06-03,,active,2024-06-03,2024-07-11
sub_27693199,cust_699b3bb5,personal,monthly,1,2024-09-25,,active,2024-09-25,2024-10-10
sub_fac73b07,cust_8e4bc82b,enterprise,monthly,107,2024-01-24,,active,2024-01-24,2024-04-16
sub_ac18e517,cust_b258bf7d,personal,annual,1,2024-11-12,,active,2024-11-12,2024-12-06
sub_d4d28419,cust_aa96bd48,enterprise,annual,71,2024-07-04,2024-12-03,churned,2024-07-04,2024-07-22
sub_8a718058,cust_477da79e,team,monthly,60,2024-06-23,2024-12-14,churned,2024-06-23,2024-08-26
sub_8e70fabf,cust_69083632,enterprise,annual,35,2024-04-10,,active,2024-04-10,2024-08-28
sub_31b2f245,cust_fe4aa29c,business,monthly,52,2024-05-19,,active,2024-05-19,2024-12-22
sub_20a22ba9,cust_66c8833a,enterprise,annual,1649,2024-08-04,,active,2024-08-04,2024-09-23
sub_e5d9613f,cust_e49db1d1,personal,monthly,1,2024-05-13,,active,2024-05-13,2024-05-20
sub_25ff9607,cust_ec60abff,enterprise,annual,274,2024-06-08,,active,2024-06-08,2024-07-25
sub_a8777554,cust_1ca57c8c,team,annual,228,2024-05-16,2024-08-31,churned,2024-05-16,2024-12-26
sub_c46f2b2f,cust_7bcbc921,enterprise,annual,490,2024-08-11,,active,2024-08-11,2024-12-15
sub_decd3719,cust_e5e0dee1,business,monthly,1778,2024-09-09,,active,2024-09-09,2024-12-22
sub_fa537913,cust_15668508,business,annual,149,2024-03-08,,active,2024-03-08,2024-06-26
sub_48ea855e,cust_3415c7f3,premium,monthly,1,2024-05-17,,active,2024-05-17,2024-09-20
sub_91a5fe9b,cust_3a7ba881,team,annual,6,2024-09-18,,active,2024-09-18,2024-12-26
sub_14fafe48,cust_fe5f249b,business,monthly,59,2024-07-08,,active,2024-07-08,2024-12-05
sub_a1fe821f,cust_0c860e00,business,annual,99,2024-10-13,,active,2024-10-13,2024-11-25
sub_d550cc53,cust_2d6a8e72,team,monthly,8,2024-01-31,2024-07-26,churned,2024-01-31,2024-09-25
sub_a085f914,cust_3ab17ccd,premium,monthly,1,2024-04-21,2024-11-17,churned,2024-04-21,2024-12-22
sub_303f7989,cust_5c8c8528,premium,annual,1,2024-02-26,,active,2024-02-26,2024-05-01
sub_4a6a1331,cust_95c9dd83,personal,annual,1,2024-09-05,,active,2024-09-05,2024-11-09
sub_4a53e8bb,cust_b5255d9e,enterprise,annual,139,2024-06-12,,active,2024-06-12,2024-11-16
sub_2d668414,cust_18293d5f,business,annual,262,2024-11-25,,active,2024-11-25,2024-11-28
sub_c1956f72,cust_eb837137,enterprise,monthly,183,2024-01-31,,active,2024-01-31,2024-04-02
sub_26de9175,cust_811f080d,team,annual,315,2024-05-13,,active,2024-05-13,2024-08-09
sub_f221d349,cust_036c232c,team,monthly,21,2024-05-01,2024-10-01,churned,2024-05-01,2024-08-22
sub_dc7d00ca,cust_daf8cf88,premium,monthly,1,2024-10-02,,active,2024-10-02,2024-10-27
sub_b5a94dc3,cust_e07d7577,enterprise,annual,974,2024-08-23,,active,2024-08-23,2024-12-26
sub_58d0ed28,cust_c2d14416,business,monthly,149,2024-06-02,,active,2024-06-02,2024-09-15
sub_ae90fd34,cust_3cba1ff6,business,annual,22,2024-06-21,,active,2024-06-21,2024-11-19
sub_d7f7cde7,cust_4a820903,enterprise,annual,421,2024-05-21,,active,2024-05-21,2024-12-09
sub_347e0645,cust_7bcbc921,business,monthly,442,2024-06-23,,active,2024-06-23,2024-09-11
sub_92b1bb3c,cust_54ab30e9,enterprise,annual,17,2024-03-05,,active,2024-03-05,2024-05-15
sub_6c5df38e,cust_acd87ed1,premium,annual,1,2024-11-27,,active,2024-11-27,2024-11-28
sub_3ad2f7eb,cust_50578a97,personal,monthly,1,2024-02-18,,active,2024-02-18,2024-11-26
sub_5488f74b,cust_36b922dc,business,monthly,90,2024-04-01,,active,2024-04-01,2024-12-14
sub_71021b12,cust_8573cf88,team,monthly,419,2024-04-07,,active,2024-04-07,2024-05-08
sub_0ced95b8,cust_c8024434,enterprise,annual,181,2024-03-22,,active,2024-03-22,2024-05-25
sub_dbd32366,cust_b1176264,team,monthly,11,2024-06-03,,active,2024-06-03,2024-07-13
sub_2b70933b,cust_811f080d,enterprise,annual,472,2024-02-07,2024-04-01,churned,2024-02-07,2024-08-08
sub_f8f53fbe,cust_dbb7c3ac,business,monthly,1596,2024-07-31,,active,2024-07-31,2024-08-10
sub_127c73bb,cust_07164d04,premium,annual,1,2024-01-11,2024-12-05,churned,2024-01-11,2024-06-13
sub_cdc7d03a,cust_53822a06,enterprise,annual,50,2024-07-22,,active,2024-07-22,2024-12-17
sub_7ef13928,cust_c99df79c,business,monthly,33,2024-02-02,,active,2024-02-02,2024-03-13
sub_87ee17be,cust_9c03bd03,team,monthly,103,2024-04-11,,active,2024-04-11,2024-12-07
sub_1f2b09fe,cust_bf4760e3,premium,monthly,1,2024-03-01,,active,2024-03-01,2024-04-02
sub_8d6d6229,cust_5f830ee5,team,monthly,251,2024-09-11,,active,2024-09-11,2024-11-25
sub_78988804,cust_7d95abc4,personal,annual,1,2024-04-30,,active,2024-04-30,2024-07-28
sub_c07be5cf,cust_826d1c29,team,annual,989,2024-04-06,,active,2024-04-06,2024-07-25
sub_e32a64f0,cust_044e0beb,team,monthly,17,2024-06-21,2024-11-19,churned,2024-06-21,2024-07-15
sub_45fb667e,cust_be397f82,premium,monthly,1,2024-02-20,,active,2024-02-20,2024-09-11
sub_6389a5e2,cust_d9aea6ab,premium,monthly,1,2024-11-21,,active,2024-11-21,2024-11-29
sub_c290a646,cust_7bcbc921,team,monthly,237,2024-01-12,,active,2024-01-12,2024-01-25
sub_9f0966ae,cust_1dde73f3,team,annual,98,2024-09-14,,active,2024-09-14,2024-11-22
sub_9d8e9038,cust_7d93bfaa,business,annual,468,2024-11-30,,active,2024-11-30,2024-12-15
sub_ac770687,cust_4c82528f,personal,annual,1,2024-07-03,,active,2024-07-03,2024-10-01
sub_edcede81,cust_eeae4c73,team,monthly,402,2024-07-28,,active,2024-07-28,2024-09-18
sub_781c73de,cust_6d0dc857,business,monthly,724,2024-08-01,,active,2024-08-01,2024-10-26
sub_54c90b75,cust_485ee604,business,monthly,158,2024-02-22,,active,2024-02-22,2024-11-18
sub_9e9e5ef4,cust_6894b27f,business,annual,122,2024-07-28,,active,2024-07-28,2024-08-31
sub_eafa1c02,cust_551cf477,business,annual,72,2024-08-17,,active,2024-08-17,2024-12-11
sub_66bbb324,cust_adf37d10,personal,monthly,1,2024-06-26,,active,2024-06-26,2024-10-26
sub_2ac8fb4c,cust_2f52fef1,team,monthly,7,2024-10-17,,active,2024-10-17,2024-12-17
sub_02e044b1,cust_15509fc0,enterprise,annual,1876,2024-08-07,2024-11-29,churned,2024-08-07,2024-11-16
sub_f09835f6,cust_c2d14416,enterprise,monthly,45,2024-09-05,,active,2024-09-05,2024-12-17
sub_fe4ea08c,cust_9d796a61,enterprise,annual,145,2024-04-30,,active,2024-04-30,2024-09-11
sub_1930f508,cust_8e4bc82b,business,annual,70,2024-07-06,,active,2024-07-06,2024-10-18
sub_3772442d,cust_04de41fe,business,annual,421,2024-03-29,,active,2024-03-29,2024-05-02
sub_070e4566,cust_e9ac64cd,business,annual,306,2024-06-20,,active,2024-06-20,2024-08-18
sub_13181935,cust_865e54f0,enterprise,annual,467,2024-05-22,,active,2024-05-22,2024-10-29
sub_4003c623,cust_9111ba9e,team,annual,120,2024-04-10,,active,2024-04-10,2024-06-09
sub_67f21e72,cust_daf8cf88,team,monthly,7,2024-04-27,,active,2024-04-27,2024-05-01
sub_e5942cfd,cust_0c860e00,team,annual,209,2024-01-01,2024-08-21,churned,2024-01-01,2024-11-12
sub_0362ca49,cust_4ef3c85b,business,annual,1436,2024-10-21,2024-11-26,churned,2024-10-21,2024-11-23
sub_e738fa1b,cust_c8024434,enterprise,monthly,411,2024-04-21,,active,2024-04-21,2024-10-20
sub_68179a2f,cust_dbb7c3ac,business,monthly,1677,2024-07-26,,active,2024-07-26,2024-07-27
sub_66cb2bc6,cust_46ea8cb5,team,monthly,50,2024-09-24,,active,2024-09-24,2024-12-28
sub_953abfa7,cust_7da9c58c,business,monthly,125,2024-10-20,,active,2024-10-20,2024-12-05
sub_d9e1e4a5,cust_51470468,premium,annual,1,2024-04-26,,active,2024-04-26,2024-04-29
sub_038f387a,cust_a59d5f28,enterprise,monthly,478,2024-10-24,2024-12-13,churned,2024-10-24,2024-11-21
sub_8465700e,cust_21c418b8,business,annual,1321,2024-08-19,,active,2024-08-19,2024-10-02
sub_8f31d61e,cust_e3589745,business,monthly,1076,2024-11-05,,active,2024-11-05,2024-11-05
sub_cafe26e0,cust_25b36647,enterprise,annual,1845,2024-07-31,,active,2024-07-31,2024-10-11
sub_34c2945b,cust_4091a2e9,team,annual,166,2024-03-14,2024-09-19,churned,2024-03-14,2024-10-17
sub_e3334270,cust_efb7481b,enterprise,annual,1474,2024-06-18,,active,2024-06-18,2024-11-18
sub_308d44ff,cust_369ba96c,team,monthly,999,2024-04-07,,active,2024-04-07,2024-06-09
sub_0d7d3f15,cust_fc0f54fd,team,annual,33,2024-10-04,,active,2024-10-04,2024-12-14
sub_a8159991,cust_ebc81cac,business,annual,31,2024-09-07,,active,2024-09-07,2024-11-21
sub_3428d71e,cust_746b2392,business,annual,354,2024-11-17,,active,2024-11-17,2024-12-05
sub_4f8c00c0,cust_953cefd7,team,monthly,31,2024-03-26,,active,2024-03-26,2024-07-06
sub_5dfac6ea,cust_2a31002b,business,monthly,30,2024-01-31,,active,2024-01-31,2024-07-12
sub_b05b1d4a,cust_49522741,team,monthly,205,2024-08-30,,active,2024-08-30,2024-10-15
sub_f4785ba9,cust_044e0beb,premium,annual,1,2024-07-19,,active,2024-07-19,2024-12-14
sub_459a5f92,cust_8573cf88,business,monthly,285,2024-11-06,,active,2024-11-06,2024-12-02
sub_3a3594a6,cust_faa2c0f7,personal,monthly,1,2024-04-20,,active,2024-04-20,2024-12-27
sub_c1a6bfc2,cust_a59d5f28,business,monthly,151,2024-10-15,,active,2024-10-15,2024-12-05
sub_45d2139d,cust_da5aa49e,enterprise,monthly,215,2024-11-10,2024-12-16,churned,2024-11-10,2024-12-20
sub_157c45af,cust_29d31d9c,team,monthly,374,2024-03-14,,active,2024-03-14,2024-04-09
sub_45347ab7,cust_00747296,enterprise,annual,1353,2024-03-11,,active,2024-03-11,2024-05-03
sub_2d2d61ad,cust_0a9a3d5d,team,annual,10,2024-04-22,2024-07-03,churned,2024-04-22,2024-12-25
sub_f1a56040,cust_837b1049,team,monthly,443,2024-06-25,2024-11-21,churned,2024-06-25,2024-09-20
sub_5feeba8d,cust_30ac1d21,team,annual,134,2024-04-15,,active,2024-04-15,2024-12-12
sub_0dfbd327,cust_5d20f6ff,enterprise,monthly,51,2024-07-10,,active,2024-07-10,2024-08-15
sub_593aabe5,cust_fdba4476,premium,monthly,1,2024-05-04,,active,2024-05-04,2024-05-11
sub_d19e3fd1,cust_bcd32cf5,team,annual,293,2024-02-29,,active,2024-02-29,2024-03-19
sub_4dc3cc67,cust_a261fcdc,personal,annual,1,2024-07-26,,active,2024-07-26,2024-07-30
sub_ea48aa1a,cust_12f6ed06,business,annual,1790,2024-03-13,,active,2024-03-13,2024-04-21
sub_941ad0bd,cust_edaada8d,team,monthly,175,2024-04-19,,active,2024-04-19,2024-08-01
sub_9f6085a0,cust_46ea8cb5,team,annual,47,2024-02-18,2024-12-21,churned,2024-02-18,2024-08-06
sub_129abf9c,cust_87db1ba2,enterprise,monthly,404,2024-10-09,,active,2024-10-09,2024-10-09
sub_65c90ed0,cust_1b23529d,enterprise,monthly,234,2024-03-31,,active,2024-03-31,2024-05-05
sub_c2ff07a5,cust_4a07bbf5,business,monthly,33,2024-02-28,,active,2024-02-28,2024-03-04
sub_55be7fe9,cust_3415c7f3,team,annual,5,2024-07-10,2024-09-20,churned,2024-07-10,2024-09-14
sub_9a8156a1,cust_25b36647,business,annual,529,2024-06-12,,active,2024-06-12,2024-10-11
sub_9668b9c6,cust_2e9345c3,premium,monthly,1,2024-11-01,,active,2024-11-01,2024-12-19
sub_93b87ebd,cust_050864c6,business,monthly,1714,2024-05-24,,active,2024-05-24,2024-11-20
sub_07b99899,cust_a94455b0,team,annual,21,2024-09-27,,active,2024-09-27,2024-12-12
sub_cc51d88e,cust_229e4618,business,annual,5,2024-01-13,,active,2024-01-13,2024-05-20
sub_6b746d98,cust_0800b881,business,annual,12,2024-02-01,,active,2024-02-01,2024-12-24
sub_318ea375,cust_88f69daf,personal,monthly,1,2024-10-18,2024-11-24,churned,2024-10-18,2024-10-23
sub_1cb49291,cust_f888ee25,business,monthly,18,2024-04-13,,active,2024-04-13,2024-09-12
sub_a9dcbb21,cust_66f312b9,premium,annual,1,2024-01-28,,active,2024-01-28,2024-08-25
sub_e731e2bb,cust_8da109b7,personal,annual,1,2024-07-01,2024-09-04,churned,2024-07-01,2024-08-07
sub_0daf0a86,cust_92e14bac,business,annual,105,2024-11-22,2024-12-25,churned,2024-11-22,2024-12-10
sub_ce93ec01,cust_69fbbd0a,business,monthly,31,2024-11-17,2024-12-17,churned,2024-11-17,2024-11-22
sub_6be86448,cust_408dbc4b,team,annual,5,2024-10-25,,active,2024-10-25,2024-11-18
sub_87088ecc,cust_fa21f953,team,annual,34,2024-05-29,,active,2024-05-29,2024-11-17
sub_c7a392ba,cust_568acecc,business,annual,1237,2024-04-05,,active,2024-04-05,2024-04-18
sub_1c999e2a,cust_8db7c85f,team,monthly,34,2024-03-18,,active,2024-03-18,2024-09-12
sub_0b57f144,cust_6d811d9a,enterprise,monthly,5,2024-10-12,,active,2024-10-12,2024-12-25
sub_699fd214,cust_eee9f32f,business,monthly,1318,2024-02-06,,active,2024-02-06,2024-08-26
sub_6a8c8d99,cust_b2751f47,business,annual,42,2024-09-15,,active,2024-09-15,2024-10-25
sub_9299641b,cust_b6069265,business,annual,75,2024-07-02,,active,2024-07-02,2024-09-15
sub_df95060c,cust_c036642d,team,monthly,1692,2024-09-21,,active,2024-09-21,2024-11-20
sub_0ac48d08,cust_a831d5d4,team,annual,33,2024-05-05,,active,2024-05-05,2024-07-05
sub_548f6f3c,cust_ba6889c5,team,monthly,99,2024-09-01,,active,2024-09-01,2024-09-09
sub_99daada6,cust_66f83847,team,monthly,6,2024-10-16,2024-12-30,churned,2024-10-16,2024-12-08
sub_d68cb476,cust_db4350eb,enterprise,monthly,415,2024-07-21,,active,2024-07-21,2024-08-13
sub_d3d06e01,cust_47c3fd0d,personal,monthly,1,2024-04-08,,active,2024-04-08,2024-10-11
sub_d0191a67,cust_e5313f1a,business,monthly,102,2024-09-04,,active,2024-09-04,2024-11-01
sub_2c2a9a83,cust_c000b770,premium,monthly,1,2024-03-18,,active,2024-03-18,2024-08-04
sub_811c6660,cust_17250ffc,team,annual,1190,2024-01-21,,active,2024-01-21,2024-12-21
sub_038cfe45,cust_9430fdc9,premium,monthly,1,2024-09-15,2024-11-05,churned,2024-09-15,2024-10-06
sub_39835308,cust_712aff0f,team,monthly,213,2024-04-01,,active,2024-04-01,2024-12-02
sub_3c8b5494,cust_c4dc8396,business,annual,737,2024-06-17,2024-09-18,churned,2024-06-17,2024-06-22
sub_3fafcdf4,cust_0c860e00,premium,annual,1,2024-03-05,2024-07-20,churned,2024-03-05,2024-10-18
sub_43f42b7c,cust_fc7d8d3d,business,monthly,250,2024-02-16,2024-08-17,churned,2024-02-16,2024-12-18
sub_ad945f38,cust_da5aa49e,business,annual,468,2024-04-04,,active,2024-04-04,2024-04-07
sub_1cefb160,cust_433d0953,enterprise,monthly,288,2024-01-17,,active,2024-01-17,2024-08-29
sub_5497e747,cust_874214d3,business,monthly,19,2024-10-31,,active,2024-10-31,2024-12-16
sub_d2a12150,cust_036c232c,team,annual,19,2024-09-24,,active,2024-09-24,2024-10-24
sub_fd248ae3,cust_2ba1b3c5,team,monthly,182,2024-05-24,,active,2024-05-24,2024-06-27
sub_6d35881d,cust_837b1049,team,annual,219,2024-04-06,,active,2024-04-06,2024-06-06
sub_c7be3708,cust_a3bddddf,team,annual,8,2024-07-13,2024-08-29,churned,2024-07-13,2024-11-23
sub_f13e0b60,cust_ba2a808c,business,annual,16,2024-08-28,,active,2024-08-28,2024-11-01
sub_4ae10be0,cust_9f45db00,business,monthly,47,2024-10-21,,active,2024-10-21,2024-12-20
sub_9f1cc102,cust_8e0604f2,enterprise,monthly,255,2024-01-24,,active,2024-01-24,2024-02-16
sub_21edcb3e,cust_46c0e874,team,monthly,20,2024-05-18,,active,2024-05-18,2024-07-16
sub_5b68e116,cust_dfdecb33,team,annual,982,2024-09-29,,active,2024-09-29,2024-11-20
sub_e814fffa,cust_2fb69f5a,premium,annual,1,2024-11-03,,active,2024-11-03,2024-11-13
sub_0be38aac,cust_bb6a104f,premium,annual,1,2024-02-18,,active,2024-02-18,2024-08-25
sub_1d31e13b,cust_8e0604f2,enterprise,monthly,257,2024-03-31,2024-08-31,churned,2024-03-31,2024-11-02
sub_14af1e56,cust_429ce2b7,enterprise,monthly,1779,2024-11-02,,active,2024-11-02,2024-12-05
sub_ae51ec3b,cust_3415c7f3,premium,annual,1,2024-11-08,2024-12-29,churned,2024-11-08,2024-12-20
sub_2b386b96,cust_1b0bae38,enterprise,monthly,281,2024-10-11,,active,2024-10-11,2024-10-29
sub_ff2e1b95,cust_bc3cc796,business,annual,155,2024-01-09,,active,2024-01-09,2024-10-02
sub_25f67fe2,cust_d912cfac,premium,annual,1,2024-05-26,,active,2024-05-26,2024-10-12
sub_776128db,cust_e15dfc45,enterprise,annual,6,2024-10-08,,active,2024-10-08,2024-10-21
sub_b317c614,cust_a53865b4,team,monthly,6,2024-04-07,2024-05-22,churned,2024-04-07,2024-10-12
sub_7965f4da,cust_e5bab377,enterprise,monthly,233,2024-10-01,,active,2024-10-01,2024-11-12
sub_be2ae72e,cust_4a21aa73,team,monthly,120,2024-08-05,,active,2024-08-05,2024-10-01
sub_0addcc8d,cust_f888ee25,team,annual,11,2024-07-29,,active,2024-07-29,2024-12-11
sub_20c96c06,cust_bb6a104f,premium,annual,1,2024-07-09,,active,2024-07-09,2024-08-14
sub_1febb150,cust_42db7626,premium,annual,1,2024-08-08,,active,2024-08-08,2024-09-13
sub_23bd86f4,cust_63631bda,personal,monthly,1,2024-07-30,,active,2024-07-30,2024-10-05
sub_685e9cee,cust_7e3ea170,enterprise,annual,55,2024-05-05,2024-12-02,churned,2024-05-05,2024-08-19
sub_1e1846d0,cust_c8204f35,business,annual,34,2024-11-18,,active,2024-11-18,2024-12-17
sub_08748da9,cust_8a64d1e0,business,monthly,1779,2024-11-30,,active,2024-11-30,2024-12-26
sub_5d3d50c1,cust_485ee604,team,annual,53,2024-03-03,,active,2024-03-03,2024-03-29
sub_56abb372,cust_b0bb030f,business,monthly,113,2024-07-25,,active,2024-07-25,2024-08-24
